"","m/z","RT","compound_name","lipid_species","lipid_class","sample","intensity","treatment","polarity"
"11000",711.1951186,219.38,"Chl_c3","Chl_c3","pigment","Orbi_1233",1717073.62518681,"+NP","negative"
"11001",796.5499778,806.0955,"PE 39:4 +1O","PE","IP_DAG","Orbi_1233",0,"+NP","negative"
"11002",717.4732608,801.6325,"DAG 42:11 +2O","DAG","IP_DAG","Orbi_1233",641061.621110213,"+NP","negative"
"11003",722.4771466,806.572,"PE 35:5","PE","IP_DAG","Orbi_1233",1350218.11318197,"+NP","negative"
"11004",633.4140213,802.2065,"PA 30:1 +1O","PA","IP_DAG","Orbi_1233",23282.4241944075,"+NP","negative"
"11005",921.5796829,806.698,"DGDG 30:1","DGDG","IP_DAG","Orbi_1233",179443.811633085,"+NP","negative"
"11006",967.5441149,946.318,"SQDG 42:7 +3O","SQDG","IP_DAG","Orbi_1233",2751231.10881729,"+NP","negative"
"11007",819.5009609,821.837,"PG 36:3 +3O","PG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11008",635.4294894,825.082,"PA 30:0 +1O","PA","IP_DAG","Orbi_1233",30113.9253527753,"+NP","negative"
"11009",901.5037692,823.2355,"PDPT 40:10","PDPT","IP_DAG","Orbi_1233",0,"+NP","negative"
"11010",947.5950658,821.541,"DGDG 32:2","DGDG","IP_DAG","Orbi_1233",8300.73957986811,"+NP","negative"
"11011",699.520698,949.5305,"DAG 40:6 +2O","DAG","IP_DAG","Orbi_1233",2404554.80741438,"+NP","negative"
"11012",728.5239853,950.672,"PE 35:2","PE","IP_DAG","Orbi_1233",2166690.4851746,"+NP","negative"
"11013",547.4010609,536.9035,"DAG 30:4 +1O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11014",541.3541053,534.796,"DAG 30:7 +1O","DAG","IP_DAG","Orbi_1233",461250.545267519,"+NP","negative"
"11015",331.2647689,533.143,"FFA 22:4","FFA","FFA","Orbi_1233",624715.434975407,"+NP","negative"
"11016",617.406756,535.5565,"DAG 33:6 +3O","DAG","IP_DAG","Orbi_1233",163680.045132185,"+NP","negative"
"11017",714.5529842,833.857,"DGTS_DGTA 28:0","DGTS_DGTA","IP_DAG","Orbi_1233",75503.1057662461,"+NP","negative"
"11018",391.3583231,833.857,"FFA 26:2","FFA","FFA","Orbi_1233",124790.388459904,"+NP","negative"
"11019",573.451857,832.4935,"DAG 33:4","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11020",748.4927708,836.897,"PE 37:6","PE","IP_DAG","Orbi_1233",625461.726350176,"+NP","negative"
"11021",661.4329264,524.8685,"DAG 35:6 +4O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11022",861.5011327,523.3355,"MGDG 36:8 +2O","MGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11023",477.3226356,526.359,"DAG 25:4 +1O","DAG","IP_DAG","Orbi_1233",7747.80509237087,"+NP","negative"
"11024",511.4005923,523.3355,"DAG 27:1 +1O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11025",609.4167428,528.343,"DAG 35:8 +1O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11026",645.4148328,529.3635,"PA 31:2 +1O","PA","IP_DAG","Orbi_1233",0,"+NP","negative"
"11027",750.4081919,514.1805,"BLL 29:6 +3O","BLL","IP_DAG","Orbi_1233",0,"+NP","negative"
"11028",759.4255058,522.997,"PG 36:9","PG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11029",841.4884344,530.817,"PG 38:6 +3O","PG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11030",1103.690099,526.74,"DGDG 44:8","DGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11031",786.5084085,828.187,"PE 40:8","PE","IP_DAG","Orbi_1233",97359.8946067097,"+NP","negative"
"11032",339.3266715,809.642,"FFA 22:0","FFA","FFA","Orbi_1233",5063295.07197081,"+NP","negative"
"11033",587.4527546,813.041,"DAG 30:0 +3O","DAG","IP_DAG","Orbi_1233",37892.1941409426,"+NP","negative"
"11034",619.458074,815.444,"DAG 34:4 +2O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11035",731.5108013,815.444,"DAG 40:6 +4O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11036",760.4925483,815.558,"PE 38:7","PE","IP_DAG","Orbi_1233",850526.307088213,"+NP","negative"
"11037",783.5265115,810.7675,"MGDG 32:3","MGDG","IP_DAG","Orbi_1233",291676.03482529,"+NP","negative"
"11038",883.5344255,818.659,"PG 41:6 +3O","PG","IP_DAG","Orbi_1233",372443.896898004,"+NP","negative"
"11039",1005.688664,818.2975,"MGDG 46:6 +2O","MGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11040",909.5502371,846.2955,"PG 43:7 +3O","PG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11041",511.4363916,809.187,"DAG 28:0","DAG","IP_DAG","Orbi_1233",124564.669531799,"+NP","negative"
"11042",1099.697021,839.579,"DGDG 38:0 +4O","DGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11043",1013.693814,980.2425,"MGDG 48:8 +1O","MGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11044",987.6775908,972.259,"MGDG 46:7 +1O","MGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11045",967.7073497,990.133,"MGDG 44:3 +1O","MGDG","IP_DAG","Orbi_1233",102985.660384353,"+NP","negative"
"11046",762.5660413,975.714,"PE 36:0 +1O","PE","IP_DAG","Orbi_1233",49030.8537671078,"+NP","negative"
