"","peakgroup_mz","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rt","peakgroup_rtmin","peakgroup_rtmax","npeaks","mzXML_pos","Orbi_1229","Orbi_1230","Orbi_1231","Orbi_1232","Orbi_1233","Orbi_1234","Orbi_1235","Orbi_1236","xcms_peakgroup","isotopes","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","LOBdbase_mz","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","elem_formula","compound_name","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","LOBdbase_ppm_match","match_ID"
"3432",679.014152375487,679.013977603401,679.014274706096,1391.78,1321.42,1442.09,7,4,10181103.1308602,11760215.5656246,4049362.62500001,4964780.92071732,13509529.3208781,13256602.2505339,4827460.57716146,7105712.65593752,3853,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3433",678.934961562008,678.934808963517,678.935044829994,460.5195,458.658,461.508,4,4,1560101.59222992,118491.281808974,5654221.86510417,6573543.94555185,0,8992046.17831602,1158031.25852305,5725653.57535937,3854,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3434",679.510634040627,679.433211704619,679.538724472046,778.9045,656.491,868.734,38,8,458754.967749023,593589.039727272,14486548.9308239,541360.148925781,1313922.98465771,157281.558976842,326496.995922242,9130787.80697926,3855,"[369][M+1]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3435",679.482552380547,679.396623425841,679.526441270289,461.314,370.906,527.597,25,7,1805802.28020264,90945.6477145425,5399714.67787761,5564083.4461111,247417.101137045,8469168.48645235,934691.134575155,5224542.70898437,3856,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3436",679.376301538651,679.376063850776,679.468277407424,588.625,572.098,611.604,9,6,151062.312742675,0,1162096.43315015,385567.839390116,263754.192914388,1290250.19522949,1843704.26516131,1177449.22078945,3857,"[372][M]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3437",679.510656270906,679.470261352623,679.527724644451,926.8145,922.599,956.796,10,8,8954603.2512274,902717.054840624,1153799.38212869,542339.039562221,389191.140624999,2924976.95121875,2804772.13057508,2327430.81961622,3858,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3438",679.547507997558,679.546519347627,679.604401270664,920.875,832.251,998.381,15,8,2639264.19283204,197170.54254297,638582.075085179,427171.773964552,180616.959575781,257275.088358202,176209.194276758,237342.200786459,3859,"[368][M+1]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3439",679.679721652281,679.679185352528,679.679866986338,1148.64,1145.91,1151.42,5,5,567004.886806011,3332055.06416016,512473.543929291,334186.994082029,398171.724875001,538051.949072266,585392.994261067,966903.617829241,3860,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3440",679.548483024661,679.540891431132,679.549793107842,745.862,743.691,783.391,5,4,68454.8974342346,99914.6390929222,67241.214085333,173738.402134376,135775.074684961,1139529.82665321,63343.902098313,227912.725919532,3861,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3441",679.643765176693,679.643620923238,679.682547232809,1061.565,1057.02,1087.1,4,4,437375.845775604,223565.625583649,77448.5406088829,402604.73775,1042975.84724609,127891.068749998,934588.927250002,456173.264648438,3862,"[370][M+1]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
